url,repo,answer,justification
https://github.com/cehyman/boiler-buy,cehyman_boiler-buy_master.txt,yes,"The README contains instructions for setting up a Django API and an Angular frontend, indicating that this is a web application with both backend and frontend components. It also provides details on running the app locally and testing it, confirming that it is indeed a web application."
https://github.com/bc-cisc3140-mw2-fall2019/class_project,bc-cisc3140-mw2-fall2019_class_project_master.txt,yes,"The README file provides information about a web application called Bulldog Buckets, including its requirements, how to run it using Flask, and references a separate README file for further details. This demonstrates that the project is indeed a web application hosted on a server."
https://github.com/simonw/django-sql-dashboard,simonw_django-sql-dashboard_master.txt,yes,"The README file describes 'django-sql-dashboard' as a web application that provides an authenticated interface for executing read-only SQL queries directly against a PostgreSQL database. It allows for ad-hoc analysis, debugging, and the creation of reporting dashboards. It includes features like bookmarking queries, creating saved dashboards, producing charts and widgets from SQL queries, exporting data, and using Django's authentication system. Additionally, it mentions documentation, screenshots, and alternative tools, all typical of a web application."
https://github.com/nisiotis/dideman,nisiotis_dideman_master.txt,yes,"The README describes 'dideman' as a web application built using Python Django framework, which is specifically designed for web development. It mentions a backend for administrative personnel and a frontend for teachers, indicating a user-facing aspect, typical of web applications. It also requires a web server, database, and various libraries commonly used in web development. Additionally, it references a new version with an updated interface, further indicating ongoing web application development."
https://github.com/yoctoproject/poky,yoctoproject_poky_master.txt,no,"The file name README.poky.md does not provide enough information to determine if it belongs to a web application or not. It could be related to the Yocto Project (Poky), a Linux distribution build tool, rather than a web application."
https://github.com/Azure-Samples/azure-python-labs,Azure-Samples_azure-python-labs_master.txt,no,"The README file provides information and labs on how to build Python applications with Azure services and tools. It focuses on demonstrating various Azure functionalities and integrations with Python, rather than being a standalone web application."
https://github.com/ThijsRay/TU-Delft-CTF-2022,ThijsRay_TU-Delft-CTF-2022_master.txt,no,"This README seems to describe a set of challenges for a CTF competition, it is not a web application."
https://github.com/amiransht/sehat-terus,amiransht_sehat-terus_master.txt,yes,"The README file describes the development of a web application called SehatTerus, which is aimed at providing COVID-19 information and digital tracking of patients. It mentions various modules such as Authentication, Profile, Settings, Summary Page, Data Entry, Nakes Page, About Website, FAQ, Blog, and base components like Navbar and Footer. It also outlines different user roles and functionalities for each role. The presence of a link to the deployed web application further confirms that it is indeed a web application."
https://github.com/blabla1337/skf-flask,blabla1337_skf-flask_master.txt,yes,"The README file clearly mentions the Security Knowledge Framework as a guide-system for developers to develop web applications secure by design from the start. It discusses the security of web applications and the risks involved, indicating that it is related to web application development."
https://github.com/steviewong/Team-Project-7,steviewong_Team-Project-7_master.txt,no,The README file name 'Team-Project-7' does not provide enough information to determine if it is a web application or not. We would need more detailed information about the project itself to make that determination.
https://github.com/Diluka/nas-tools-unlock,Diluka_nas-tools-unlock_master.txt,yes,"The README file contains information about a NAS media library management tool that can be accessed via API, Docker, local installation instructions, and executable files. It also includes links to GitHub repositories, Docker Hub, Telegram channel, and a Wiki page. These are typical components found in a web application README."
https://github.com/meyruiz/MACS-Soen6011summer2023,meyruiz_MACS-Soen6011summer2023_master.txt,yes,"The README clearly outlines the development of a web application for a career service platform. It describes features such as user registration, job posting and management, profile management, tracking system, admin management, data security, and privacy. Additionally, it mentions front-end technologies like React, JavaScript, NodeJS, and back-end technologies like Flask, Flask-login, and MongoDB. The instructions for setting up the application also indicate that it is meant to be hosted on a server for testing and development purposes."
https://github.com/razac-elda/PlatypOS-Airlines,razac-elda_PlatypOS-Airlines_master.txt,yes,"The README mentions a 'website', 'Flask framework', 'Bootstrap framework', 'functionality related to flight booking', 'PostgreSQL database', 'web server', and setup instructions for running the application, all typical components and characteristics of a web application."
https://github.com/Jamie-/ctf-flag-tracker,Jamie-_ctf-flag-tracker_master.txt,yes,"The README file describes a CTF flag tracker web application designed for long-term tracking of multiple events, teams, and permissions. It provides instructions for installation using Docker with Nginx as a reverse proxy. It also includes details on creating an initial admin user and running behind an Nginx proxy server. Additionally, it mentions being designed for a specific organization, the University of Southampton Cyber Security Society."
https://github.com/pbaesse/dados-livres,pbaesse_dados-livres_master.txt,yes,"The README file describes a web application called 'Dados Livres - Plataforma de Dados Abertos' that allows sharing and collaboration on identifying open data sources and applications that use this information. It provides installation instructions, configuration steps, and how to run the application locally. It also includes a list of authors, licensing information, and contact details. The presence of information about accessing the application via a localhost address and mentioning Flask commands indicates that this is a web application."
https://github.com/joshand/adaptive-policy-sync,joshand_adaptive-policy-sync_master.txt,yes,"The README file provides detailed instructions on setting up, configuring, and using an application called 'adaptive-policy-sync'. It includes information on compatibility with Cisco ISE and Cisco Meraki, setting up the environment using Docker or running locally, configuring Adaptive Policy Sync using both UI and API methods, troubleshooting tips, and database access instructions. The content suggests that 'adaptive-policy-sync' is a web application for synchronizing policies between Cisco ISE and Cisco Meraki."
https://github.com/clarissa-ai/clarissa-web-backend,clarissa-ai_clarissa-web-backend_master.txt,yes,"The README mentions an admin dashboard, which implies a web interface. Additionally, Python and Flask are commonly used for web development, suggesting that this is likely a web application."
https://github.com/zbatscha/tangelo,zbatscha_tangelo_master.txt,yes,"The README file provides detailed instructions on how to install, set up environment variables, populate the database, run the application server, and automate content updates. It also includes links to additional documents such as the project overview, user's guide, and programmer's guide. These characteristics are indicative of a web application."
https://github.com/ncsa/bhr-site,ncsa_bhr-site_master.txt,yes,"The README file describes a web application called BHR Site/API endpoint. It provides information on how BHR clients interact with the system, configuration details, development instructions using Docker, and related projects. It mentions setting up settings_local.py, configuring Apache, using docker-compose for development, and provides links to related projects."
https://github.com/blavian/FireMoney,blavian_FireMoney_master.txt,yes,"The README file describes a web application called Fire Money, which is a personal finance app built with technologies like React, Redux, Python, and Flask. It provides instructions on how to clone the repository, install dependencies, set up the environment, and run the application. The presence of features like user login, transactions, and a wiki also indicate that it is a web application."
https://github.com/vialivre/flask-freeradius-admin,vialivre_flask-freeradius-admin_master.txt,yes,"This README file describes a web application called Flask-FreeRadius-Admin, which is a visual editor for the FreeRadius server tables. It provides instructions on how to install and use the application, including setting up Docker, PostgreSQL database, configuring FreeRadius, setting up environment variables, and running the Flask app. Additionally, it includes information on accessing the application shell, standalone use instructions, setting up a systemd service, and accessing the web interface. The README also provides details on modifying configuration files, SQLite to PostgreSQL migration, granting database permissions, and restarting services. Overall, it clearly explains the steps required to set up and use the web application."
https://github.com/Sanqui/prekapavac,Sanqui_prekapavac_master.txt,yes,"The README file describes a web application called Překapávač which is used for collaborative translation of terminology. It provides instructions on setting up a development version, including cloning the GitHub repository, setting up the database, and starting the server. It mentions using Flask and SQLAlchemy, and provides a live version link. Therefore, it qualifies as a web application."
https://github.com/profjsb/python-seminar,profjsb_python-seminar_master.txt,yes,"The README describes a graduate seminar course focused on learning various aspects of Python for data science, including web frameworks, machine learning, and parallelism. It mentions building a working codebase and covers topics like web frameworks, RESTful APIs, and Flask, indicating web application development."
https://github.com/Random-Coders/Opportunity-Dashboard,Random-Coders_Opportunity-Dashboard_master.txt,yes,"The README file provides instructions on how to set up and run the web application using virtualenv, make command, and pip. It also mentions the use of gunicorn for running the application, which is commonly used for hosting web applications. Additionally, it references a license file and external tools like pystarter, indicating that it is indeed related to a web application."
https://github.com/Jubintgh/CoinPal,Jubintgh_CoinPal_master.txt,yes,"The README describes a web application called Coin Pal, which facilitates the transfer of crypto between users without the need for wallet hash, similar to Venmo. The application has a front-end built with React, follows Redux architecture, a backend developed using Flask and PostgresSQL, and APIs designed around REST principles. It includes features like user authentication, user wallet management, crypto transactions, and friend request functionalities. The technologies used such as Flask, React, and PostgreSQL are common in web application development."
https://github.com/jan-janssen/gmailsorter,jan-janssen_gmailsorter_master.txt,yes,"The README file describes 'Gmailsorter' as a server-side application that integrates with Google Mail to filter and sort emails based on similarity. It mentions features, motivation, a web service launch, documentation links, configuration options, and support. Additionally, it provides licensing information. The presence of a web service, documentation links, and configuration options indicate that it is a web application."
https://github.com/asrashley/dash-live,asrashley_dash-live_master.txt,yes,"The README file describes a Python application that provides an endpoint for serving multiple MPEG DASH manifests. It discusses installation steps, running the server, adding user accounts, validating DASH streams, migrating from a Python 2 version, testing, and licensing information. The application serves a specific purpose of testing live DASH streams using non-live, rights-cleared material, making it a web application."
https://github.com/scp-cs/translatordb_web,scp-cs_translatordb_web_master.txt,yes,"The README file provides detailed information about the SCUTTLE Translator Directory System, which is a web application. It includes features, installation instructions both manually and using Docker, and mentions using classic credentials or Discord OAuth for login. It also contains a configuration file, deployment instructions, and references to DockerHub for a prebuilt container image."
https://github.com/qwlake/knu-festival,qwlake_knu-festival_master.txt,yes,"The README file describes 'KNU Festival - 머동머동' website, created by a group of students and developers for a university festival. It includes information about the apps available on the site, such as '분실물 게시판', '술 친구 게시판', '푸드트럭', '강대총학 문의 게시판', and '인덱스'. Additionally, it provides information about the environments required to run the site (Windows or iOS, Python 3.6+, Django 2.1) and quick start commands. These details indicate that it is a web application."
https://github.com/0xdbff/tuxTech,0xdbff_tuxTech_master.txt,yes,"This README file describes an online store web application with a modern website design, scalability, modularity, efficiency, and security measures. It mentions software technologies like Redis, PostgreSQL, Nginx, and Gunicorn, commonly used in web applications. Additionally, it talks about licensing under the AGPLv3, indicating it is a web application being hosted on a server."
